Aluminium,Elevation,Nitrogen,Organic Carbon,PH,Soil Moisture,Texture,Variance,Yield,cluster
55,2210,99,5,57,19.86532021,1,0.3881329298,3.392250061,0
54,1290,87,5,61,12.24644375,1,0.007159532048,1.507699966,2
56,1648,68,5,57,20.57894135,1,0.03137761727,1.91415,2
57,2049,109,4,61,16.04195404,4,0.02771217562,1.835549951,3
50,1717,92,5,57,6.495947361,4,0.01889276505,1.212350011,4
58,2721,146,8,55,11.64798927,4,0.01692728139,1.769199967,3
51,1921,96,3,65,6.775710106,4,0.005629748572,1.673699975,4
52,1953,105,4,61,10.82009888,1,0.2297915667,3.007400036,0
44,527,67,2,63,5.005792141,6,0.007536387071,1.17809999,1
57,1535,82,5,54,22.19878006,1,0.04313158616,1.83039999,2
56,1717,92,4,57,21.88551903,1,0.2122259289,2.31704998,2
51,2071,63,2,69,3.891039133,6,0.02357722633,1.583899975,4
56,2659,115,6,56,11.64798927,4,0.07291729003,1.832749963,3
55,2389,105,5,56,19.86532021,1,0.4671826065,3.497100115,0
57,1641,82,5,55,20.57894135,1,0.03110343032,1.911200047,2
57,2190,122,7,56,19.86532021,1,0.3597408831,3.512350082,0
47,111,59,2,61,6.391897678,6,0.02194841392,1.396049976,1
58,2638,135,7,57,11.64798927,4,0.08618227392,1.506649971,3
48,500,55,2,67,6.663610458,6,0.007402258925,1.184649944,1
49,1659,75,3,65,8.339187622,4,0.01461336482,1.468600035,4
48,718,66,2,67,7.585030556,4,0.02682386525,1.427649975,1
52,1785,97,4,60,5.56032896,1,0.01617567241,1.265750051,4
47,675,60,2,67,4.508432388,6,0.002108741319,0.9280999899,1
46,111,81,3,56,7.281767368,6,0.01787987724,1.573199987,1
52,1105,99,5,57,8.634547234,4,0.02969314158,1.367499948,4
50,1032,93,4,60,8.634547234,1,0.01758314483,1.293499947,4
47,249,55,2,69,7.74776125,6,0.002715667943,0.9718000293,1
56,1634,87,5,58,22.41001701,1,0.1204794496,2.255049944,2
49,777,70,3,68,11.45661259,1,0.06314214319,1.706949949,4
47,899,80,5,65,6.748383045,4,0.0194486808,1.252099991,4
50,1303,79,6,69,5.242562294,4,0.01902287826,0.8753499985,4
50,1589,71,2,60,6.495947361,6,0.01463054586,1.260200024,4
51,2077,92,3,71,9.759883881,4,0.01812040061,1.493350029,4
51,1072,71,3,64,12.68012905,6,0.2200521231,2.611799955,4
57,1954,103,5,59,15.22552395,1,0.03150203452,1.622200012,3
44,798,63,2,66,5.208451271,6,0.01079949457,1.226549983,1
48,776,70,2,63,7.301342487,6,0.0257234294,1.381000042,1
48,1176,67,2,66,10.61869431,3,0.01851142012,1.222650051,4
47,1070,80,2,59,11.05469418,6,0.00739711849,1.336500049,1
52,1941,89,4,61,7.467814445,6,0.02891613171,1.184700012,4
43,17,63,2,68,0.6350000501,6,0.0224243775,1.423750043,1
59,1645,118,5,58,14.75756168,1,0.07679371536,1.306900024,3
56,1380,80,5,53,22.19878006,1,0.02316980995,1.751749992,2
55,1396,63,5,56,22.78585052,4,0.01617363654,1.859899998,2
57,2458,117,5,60,9.580809593,4,0.04135841876,1.813150048,3
55,1184,79,5,56,18.79302979,1,0.02274230309,1.495800018,2
47,486,57,2,66,4.616046906,6,0.003560068086,0.8598499894,1
49,1514,72,3,58,7.908875465,3,0.06018204615,1.194499969,4
56,1926,109,5,58,17.2395401,1,0.003552541602,1.993049979,3
53,1714,108,6,62,18.1607132,4,0.5729998946,2.801650047,0
57,1339,94,5,57,13.50076485,1,0.04467250407,1.451349974,2
51,1150,78,3,60,14.86999321,4,0.00758053828,1.537449956,4
55,1344,82,5,61,19.79767227,1,0.01425329968,1.661049962,2
46,710,55,2,62,5.086588383,6,0.005070928484,0.7903000116,1
46,1323,60,3,61,4.621278763,6,0.008669616655,1.153300047,1
48,1150,72,3,70,6.031561852,4,0.01014397573,0.7975000143,4
46,273,50,2,62,6.565292358,9,0.01810667291,1.165199995,1
49,1181,68,2,62,14.86999321,6,0.002494772431,1.476150036,1
47,1082,80,3,58,13.87384796,1,0.03345703334,1.429800034,4
46,1270,62,3,64,5.945804596,6,0.02248037793,1.253550053,1
54,1264,83,5,59,12.24644375,1,0.006299833767,1.475049973,2
47,1312,66,3,57,5.32907486,3,0.05782087147,1.660850048,4
52,2347,119,4,60,9.759883881,4,0.02378255501,1.665500045,3
46,1035,70,3,61,5.945804596,6,0.009794226848,1.156000018,1
49,1250,73,3,69,4.963163376,1,0.01737638749,1.321449995,4
47,88,72,2,61,8.570746422,6,0.01944513246,1.290850043,1
53,1228,60,2,65,10.89016056,6,0.007371786982,1.456699967,1
48,1129,68,2,66,4.234931946,4,0.009411183186,1.261150002,1
51,1480,87,4,64,6.669222355,1,0.03554816544,1.515300035,4
47,808,53,2,64,6.153415203,6,0.003635579254,0.8757500052,1
50,1424,80,4,64,6.669222355,1,0.03987461329,1.640650034,4
47,716,63,2,64,5.005792141,6,0.005284140352,0.8597499728,1
54,1718,115,8,54,19.75752831,1,0.004833999556,1.635450006,3
48,587,48,1,70,6.959218502,6,0.01523077488,1.291949987,1
47,617,63,2,66,4.734521866,6,0.02154581621,1.228649974,1
49,1213,56,2,59,5.32907486,6,0.01763026789,1.264549971,1
55,1178,76,3,63,0.6350000501,6,0.0325230509,1.366400003,4
45,632,60,2,66,5.086588383,3,0.007939876057,1.214300036,1
57,1978,120,6,56,18.25143433,1,0.03778289631,1.802099943,3
53,1338,65,3,62,10.89016056,6,0.01532261632,1.43295002,4
43,108,65,3,62,8.313504219,6,0.03101795912,1.474300027,1
