type,ident,Latitude,Longitude,y_proj,x_proj,Area,Area_Acr,Sub_Coun_1,Crop_2022,Qty_tons,Area_ha,yield_t_ha,bgstokgs
TRACK,"75",0.87085080,35.40691395,0.87085080,35.40691395,547.047,"0",Moiben,Maize,2.700,0.648,4.167,2700.000
TRACK,"76",0.87644044,35.41066027,0.87644044,35.41066027,35949.584,"9",Moiben,Maize,9.000,4.047,2.224,9000.000
TRACK,"77",0.87903069,35.41207196,0.87903069,35.41207196,29135.751,"7",Moiben,Maize,0.900,6.070,0.148,900.000
TRACK,"78",0.88960669,35.41685377,0.88960669,35.41685377,55643.031,"14",Moiben,Maize,2.250,16.188,0.139,2250.000
TRACK,"79",0.89414446,35.42076950,0.89414446,35.42076950,9307.509,"2",Moiben,Maize,7.200,0.809,8.900,7200.000
TRACK,"80",0.90691912,35.42057018,0.90691912,35.42057018,5439.411,"1",Moiben,Maize,7.200,2.023,3.559,7200.000
ATC,,,,,,370593.908,"92",Moiben,Maize,2.700,323.756,0.008,2700.000
Dennis200,,,,,,,,Moiben,Maize,1.800,202.347,0.009,1800.000
TRACK,"81",0.91291019,35.37826960,0.91291019,35.37826960,456.081,"0",Moiben,Maize,8.100,4.047,2.001,8100.000
TRACK,"82",0.91234946,35.37516911,0.91234946,35.37516911,489.008,"0",Moiben,Maize,1.800,8.094,0.222,1800.000
TRACK,"83",0.91297081,35.37513410,0.91297081,35.37513410,584.709,"0",Moiben,Maize,9.000,2.428,3.707,9000.000
7ac,,,,,,,,Moiben,Maize,0.900,2.833,0.318,900.000
5acs,,,,,,,,Moiben,Maize,4.500,2.023,2.224,4500.000
TRACK,"84",0.87792477,35.36995517,0.87792477,35.36995517,6645.510,"2",Moiben,Maize,1.620,0.526,3.080,1620.000
TRACK,"90",0.88184394,35.38105017,0.88184394,35.38105017,6809.463,"2",Moiben,Maize,0.900,6.475,0.139,900.000
TRACK,"91",0.88662746,35.38996201,0.88662746,35.38996201,9077.239,"2",Moiben,Maize,1.620,0.809,2.002,1620.000
TRACK,"92",0.89905479,35.38304280,0.89905479,35.38304280,15779.435,"4",Moiben,Maize,2.160,12.141,0.178,2160.000
TRACK,"93",0.88774089,35.37588552,0.88774089,35.37588552,12310.489,"3",Moiben,Maize,5.040,1.376,3.663,5040.000
TRACK,"98",0.88582355,35.38642569,0.88582355,35.38642569,9559.294,"2",Moiben,Maize,7.200,0.809,8.900,7200.000
TRACK,"95",0.87564464,35.38252618,0.87564464,35.38252618,4882.371,"1",Moiben,Maize,2.250,2.023,1.112,2250.000
TRACK,"96",0.87554217,35.36606454,0.87554217,35.36606454,2280.387,"1",Moiben,Maize,1.350,0.688,1.962,1350.000
TRACK,"97",0.87964339,35.37858642,0.87964339,35.37858642,3953.388,"1",Moiben,Maize,2.700,2.428,1.112,2700.000
TRACK,"94",0.88393120,35.38758875,0.88393120,35.38758875,947.921,"0",Moiben,Maize,1.800,1.214,1.483,1800.000
TRACK,"99",0.89260286,35.38362813,0.89260286,35.38362813,24318.540,"6",Moiben,Maize,0.900,0.405,2.222,900.000
TRACK,"100",0.87812833,35.38040148,0.87812833,35.38040148,2496.422,"1",Moiben,Maize,1.800,2.833,0.635,1800.000
TRACK,"101",0.87573270,35.38924555,0.87573270,35.38924555,8338.439,"2",Moiben,Maize,5.400,1.214,4.448,5400.000
TRACK,"102",0.88199952,35.38447855,0.88199952,35.38447855,1015.641,"0",Moiben,Maize,2.880,6.880,0.419,2880.000
TRACK,"103",0.88441185,35.39324961,0.88441185,35.39324961,9464.302,"2",Moiben,Maize,5.040,1.214,4.152,5040.000
TRACK,"104",0.89597193,35.37899081,0.89597193,35.37899081,1148.401,"0",Moiben,Maize,1.350,0.809,1.669,1350.000
TRACK,"105",0.90009828,35.38095558,0.90009828,35.38095558,7163.168,"2",Moiben,Maize,5.400,1.619,3.335,5400.000
TRACK,"106",0.89140522,35.37636310,0.89140522,35.37636310,16486.155,"4",Moiben,Maize,1.800,0.081,22.222,1800.000
TRACK,"107",0.87754109,35.37086304,0.87754109,35.37086304,5744.002,"1",Moiben,Maize,2.520,2.833,0.890,2520.000
TRACK,"108",0.90293864,35.38224904,0.90293864,35.38224904,5083.106,"1",Moiben,Maize,1.800,2.833,0.635,1800.000
TRACK,"109",0.87868389,35.37306719,0.87868389,35.37306719,5184.190,"1",Moiben,Maize,4.500,0.688,6.541,4500.000
TRACK,"110",0.87823556,35.39221360,0.87823556,35.39221360,16394.943,"4",Moiben,Maize,2.250,0.405,5.556,2250.000
TRACK,"111",0.87278231,35.39081620,0.87278231,35.39081620,2939.172,"1",Moiben,Maize,1.530,1.214,1.260,1530.000
TRACK,"117",0.89730104,35.36925027,0.89730104,35.36925027,11383.093,"3",Moiben,Maize,1.800,4.047,0.445,1800.000
TRACK,"118",0.89202084,35.36429656,0.89202084,35.36429656,21164.781,"5",Moiben,Maize,2.700,1.214,2.224,2700.000
TRACK,"119",0.88497460,35.36040582,0.88497460,35.36040582,269665.735,"67",Moiben,Maize,1.800,44.516,0.040,1800.000
TRACK,"120",0.89847299,35.35907530,0.89847299,35.35907530,15360.186,"4",Soy,Maize,4.050,1.214,3.336,4050.000
TRACK,"121",0.90580278,35.35926695,0.90580278,35.35926695,11480.547,"3",Soy,Maize,9.000,1.619,5.559,9000.000
TRACK,"122",0.91056065,35.36178102,0.91056065,35.36178102,5733.689,"1",Kesses,Maize,3.600,0.809,4.450,3600.000
TRACK,"123",0.91478361,35.36467362,0.91478361,35.36467362,3919.396,"1",Soy,Maize,7.020,0.809,8.677,7020.000
TRACK,"124",0.92089335,35.36899639,0.92089335,35.36899639,1955.240,"0",Soy,Maize,1.800,0.809,2.225,1800.000
TRACK,"125",0.92432080,35.37073163,0.92432080,35.37073163,7163.109,"2",Moiben,Maize,3.600,2.023,1.780,3600.000
