key,COUNTY,Year,Yield,blue,green,red,nir,swir1,swir2,ndvi,savi,evi,gndvi,ndmi,nsi,msavi,gci,gli,sipi,sr,osavi,gci2,arvi2,mtvi2,rdvi,gvi,ndii,ndwi,grvi,lai,tcari,mcari,wdvi,pssra,dvi,era5d_prec,era5_wind,era5m_wind,era5m_prec,era5_mean_temp,era5_min_temp,era5_max_temp,era5m_mean_temp,era5m_min_temp,era5m_max_temp,chirpsd_prec,chirpsm_prec,AREA,temp_MIN,temp_MAX,RANGE,temp_MEAN,temp_STD,temp_SUM,fpar,m_lai,m_gndvi,m_ndvi,m_ndmi,gpp,npp,Tmst_AREA,Tmst_MIN,Tmst_MAX,Tmst_RANGE,Tmst_MEAN,Tmst_STD,Tmst_SUM,Yield2,mod_lst,ggcp10,final_Yld,JoinedYld
2010_BARINGO,BARINGO,2010,2.446139689,13466.61207,13579.56526,14037.68821,18064.05894,16139.75614,12884.67164,0.138529167,0.207790146,0.598913122,0.153982612,0.057941246,-84.87767921,0.230592021,0.389278244,-0.003476344,0.947154058,1.349658685,0.160692942,-0.023498205,0.116459447,0.18269342,23.59209935,0.06443593,0.167034147,-0.153982612,0.969657053,0.383198528,11753.75859,0.255321133,11045.21483,0.743920497,4026.370726,0.008884736,-0.317762252,-0.320656811,0.271796343,293.0245463,288.8516099,298.4486149,293.0370463,287.0163384,301.1527462,5.331618835,27.19125605,0.212500006,19.75351334,31.59359169,11.84007835,26.92304183,2.799918749,2288.458555,51.08486034,16.25541354,0.581468659,0.570163914,0.144126558,379.7807835,12825.63078,0.230625009,99.44999695,223.6333313,124.1833344,165.8629063,26.89322134,27201.51664,,14969.65208,1.202656445,,2.446139689
2010_BOMET,BOMET,2010,2.534295664,9273.87625,10270.83435,10170.83956,18802.30141,15480.64139,11918.84365,0.298717828,0.448068983,2.140335679,0.294081947,0.096981768,-38.40808252,0.45904211,0.836416561,0.027874182,1.10392383,1.856789177,0.34651076,0.07076378,0.259630472,0.418261929,50.7732557,0.123797196,0.224120008,-0.294081947,1.010568509,0.9627611,26015.42837,0.403317128,13716.88162,0.546195044,8631.461827,0.003543903,-1.505102848,-1.506124805,0.108446711,291.1779246,286.860042,296.5955153,291.1838921,285.080131,298.684406,3.943740575,20.113077,0.075000002,21.69273567,25.94690323,4.254167557,25.08730189,0.781970172,752.6190567,68.42384507,28.01444627,0.664377947,0.708306015,0.208101268,542.8367427,16691.33152,0.081562503,102.3166656,202.5333252,100.2166595,133.9158054,20.53681937,7767.116714,,14964.35159,4.933518551,,2.534295664
2010_BUNGOMA,BUNGOMA,2010,2.616617387,17854.93803,17050.62684,17695.21449,20411.25788,17761.26924,13750.84017,0.090396512,0.135592544,0.774804578,0.107608433,0.071804853,-27.72554495,0.146562508,0.273572086,-0.018397991,1.13020168,1.233671412,0.104859404,-0.03831038,0.093557245,0.101756355,15.71032437,0.054711984,0.194705212,-0.107608433,0.966768334,0.209054581,7734.890213,0.18989837,11563.65062,0.822508391,2716.043372,0.013263373,-0.284021825,-0.286238161,0.405864053,291.2263883,287.5338612,295.6644022,291.2334127,286.0380701,298.2046758,6.366695864,32.47014855,0.200000006,22.36101532,30.22205925,7.86104393,27.58802648,1.685243595,2207.042118,59.37770725,20.20973666,0.632807089,0.662394545,0.166179773,410.4968289,13195.14585,0.188437508,146.8333282,196.5166626,49.68333435,168.1215177,12.79698328,22528.28337,,14963.83447,3.188185211,,2.616617387
2010_BUSIA,BUSIA,2010,3.114872856,20577.7176,19430.25052,20177.74615,21080.29136,19366.22202,14691.73165,0.036797124,0.055194705,3.977413999,0.055863895,0.046038819,-49.53797009,0.053364902,0.143195281,-0.02432189,1.027752821,1.10057037,0.042684421,-0.064411088,0.047976549,0.013134105,5.913817943,0.032880506,0.179193444,-0.055863895,0.963016197,0.015131996,2247.378652,0.115136448,10991.41826,0.91084461,902.5451844,0.006836776,-0.165646643,-0.166088197,0.209217752,295.1287555,291.3518922,299.8851937,295.1331908,289.9466801,302.3361743,5.685010429,28.9935524,0.122500004,28.79479599,30.33118439,1.536388397,30.04351491,0.316309548,1472.132231,56.23861687,15.73305341,0.63217668,0.660390373,0.144746334,364.949335,10958.8594,0.120937505,128.3666687,199.4000092,71.03334045,168.8215117,15.09700563,14518.65001,,15079.52976,3.514851075,,3.114872856
2010_ELGEYO-MARAKWET,ELGEYO-MARAKWET,2010,3.114872856,17064.11439,16820.43171,17288.38226,20857.02672,18154.9055,13714.83444,0.111312455,0.16696608,-0.643741449,0.123733431,0.072926931,-91.08155092,0.184735885,0.310478389,-0.00814565,1.048769002,1.281030742,0.129121804,-0.032230385,0.103227631,0.144919654,19.94313837,0.057386641,0.206379067,-0.123733431,0.975513845,0.284728463,10395.36184,0.207320391,12212.83559,0.793366204,3568.644459,0.024917678,-0.27823995,-0.282197168,0.762416972,290.0129106,286.2898922,295.0693903,290.0232798,284.8032634,297.5926227,6.166919947,31.45129167,0.087500003,18.99624062,30.16345406,11.16721344,22.91980133,2.602905451,802.1930466,61.27097436,21.77454544,0.637433059,0.665543944,0.189264052,446.2347902,15411.26259,0.106875004,139.3166656,231.0,91.68333435,185.9396928,19.55714236,14131.41666,,14751.63249,0.773916529,,3.114872856
2010_EMBU,EMBU,2010,0.91713278,25579.619,24329.20925,25320.10621,23806.10035,21870.98516,15314.77698,0.008503625,0.012754598,1.501933597,0.026325416,0.051183281,-20.19724571,-0.022481621,0.099385786,-0.018320307,1.05339489,1.065299227,0.009863998,-0.079493059,0.009888875,-0.058381083,-2.551135485,0.013427044,0.21431427,-0.026325416,0.965234228,-0.087233883,-5060.067652,0.053124469,11146.04726,0.983358546,-1514.005845,0.003362495,-0.190804486,-0.192861173,0.102920529,292.942219,289.5014084,297.249735,292.950543,287.6167087,299.7184417,2.460781049,12.58790675,0.147500004,26.71312332,34.0832634,7.370140076,30.20756298,1.867366897,1782.246216,43.07158144,12.90093469,0.549480538,0.493186712,0.045875408,294.4639598,9413.542537,0.153281256,68.68333435,105.0999985,36.41666412,83.22782898,8.366517157,9071.833359,,15063.60121,2.389536063,,0.91713278
2010_HOMA BAY,HOMA BAY,2010,1.33334753,17586.71533,16786.33417,17499.25374,19683.56057,18039.08524,14053.32875,0.076140764,0.114209212,0.555167669,0.095093841,0.046555515,81.59980872,0.124358173,0.234255568,-0.018836507,1.6809156,1.191299681,0.088322808,-0.048052057,0.076349216,0.07775372,12.96224813,0.047170518,0.167061846,-0.095093841,0.963123907,0.157477285,6106.899031,0.177641633,10933.9337,0.840591657,2184.306829,0.004345696,-0.088052617,-0.088947766,0.132864328,296.249046,293.8548267,299.0155077,296.2518171,292.6103024,300.8418473,4.103923332,20.93000908,0.210000006,27.00605583,31.10319901,4.097143173,29.77850766,0.828699703,2501.394644,58.72094362,20.31755291,0.605329145,0.633327553,0.133711462,434.192163,10866.30583,0.213750009,97.75,178.0166626,80.2666626,140.4865133,18.70888533,21353.95003,,15093.78037,2.702842935,,1.33334753
2010_ISIOLO,ISIOLO,2010,0.92840717,16959.82221,16608.38714,17451.11148,18690.79644,17043.7857,13412.33976,0.057258356,0.085885802,0.33869173,0.07869116,0.047974409,-105.5783261,0.080021665,0.208520009,-0.012123375,0.964195202,1.166033544,0.066419265,-0.064260972,0.040015842,0.029000405,8.651343185,0.029799506,0.163332069,-0.07869116,0.958671033,0.089160734,3248.937227,0.154754086,9965.240664,0.87585394,1239.68493,0.000891941,-1.939782775,-1.939210361,0.027298865,296.5454903,292.4113941,301.7568548,296.5510428,290.7496507,303.8888627,1.073021268,5.59982041,0.005,30.93395233,32.06153488,1.12758255,31.49774361,0.563791275,62.99548721,20.16279519,4.302269616,0.391083016,0.232941104,-0.065816527,86.41772464,1137.896349,0.0028125,70.90000153,72.8833313,1.983329773,71.89166641,0.991664886,143.7833328,,15355.31373,0.472182828,,0.92840717
2010_KAJIADO,KAJIADO,2010,1.19482865,30432.08406,28948.66459,30525.08518,24427.47431,25998.1784,16839.05208,-0.082206392,-0.123308973,0.692677353,-0.053090787,-0.020598433,-31.07058111,-0.218809973,-0.06575248,-0.025432356,1.017633347,0.882237099,-0.095359263,-0.128586809,-0.089432411,-0.266317481,-22.70985291,-0.030896459,0.17477758,0.053090787,0.944202399,-0.415422728,-19016.32379,-0.063511872,9164.931716,1.147657509,-6097.610892,0.002532475,-1.161899863,-1.16340864,0.077501192,291.7795773,287.5714886,296.7330867,291.789482,285.4214759,299.1281816,1.758813193,9.020950928,0.055000002,21.87751961,31.51937485,9.64185524,24.20934859,2.070604912,532.605669,32.53829634,8.339493558,0.480520785,0.387108042,0.027382001,213.5636612,6682.525198,0.047812502,0.0,71.09999847,71.09999847,40.09803918,20.1490626,1363.333332,,15056.73429,1.118595691,,1.19482865
2010_KAKAMEGA,KAKAMEGA,2010,1.802263102,14844.41253,14341.5976,14796.49254,19589.63139,16925.39469,13303.77348,0.151949906,0.227921216,2.830029624,0.165285613,0.07572009,-59.91502924,0.251808355,0.420172081,-0.012733636,0.947428292,1.387394015,0.176260989,-0.005717429,0.151762668,0.204845904,26.95974045,0.081750755,0.192432137,-0.165285613,0.974183458,0.431754759,14064.66622,0.268535333,12191.38511,0.725840376,4793.138833,0.005844687,-0.241238276,-0.241845474,0.178840862,293.662483,289.5675052,298.878886,293.669657,288.1332818,301.5544798,6.813662586,34.74967925,0.205000006,25.25086403,30.27238274,5.021518707,28.46386286,1.38018565,2334.036755,59.60381691,19.81912412,0.630551067,0.656625746,0.161044147,426.1394251,13041.05875,0.202500008,148.9333344,231.9333344,83.0,193.0815965,23.43202521,27803.74989,,14986.38851,3.527143448,,1.802263102
